source_collage,output_filename,row,column,x,y,width,height
invoice_08.png,batch2_invoice_121.png,3,5,1215,512,321,241
invoice_08.png,batch2_invoice_122.png,4,1,0,755,308,269
invoice_08.png,batch2_invoice_123.png,4,2,311,755,300,269
invoice_08.png,batch2_invoice_124.png,4,3,613,755,302,269
invoice_08.png,batch2_invoice_125.png,4,4,918,755,295,269
invoice_08.png,batch2_invoice_126.png,4,5,1215,755,321,269
invoice_09.png,batch2_invoice_127.png,1,1,0,0,271,224
invoice_09.png,batch2_invoice_128.png,1,2,273,0,257,224
invoice_09.png,batch2_invoice_129.png,1,3,532,0,246,224
invoice_09.png,batch2_invoice_130.png,1,4,780,0,247,224
invoice_09.png,batch2_invoice_131.png,1,5,1029,0,243,224
invoice_09.png,batch2_invoice_132.png,1,6,1274,0,262,224
invoice_09.png,batch2_invoice_133.png,2,1,0,225,269,201
invoice_09.png,batch2_invoice_134.png,2,2,271,225,257,201
invoice_09.png,batch2_invoice_135.png,2,3,530,225,249,201
invoice_09.png,batch2_invoice_136.png,2,4,782,225,247,201
invoice_09.png,batch2_invoice_137.png,2,5,1031,225,244,201
invoice_09.png,batch2_invoice_138.png,2,6,1277,225,259,201
invoice_09.png,batch2_invoice_139.png,3,1,0,427,267,196
invoice_09.png,batch2_invoice_140.png,3,2,268,427,261,196
invoice_09.png,batch2_invoice_141.png,3,3,531,427,247,196
invoice_09.png,batch2_invoice_142.png,3,4,779,427,244,196
invoice_09.png,batch2_invoice_143.png,3,5,1024,427,257,196
invoice_09.png,batch2_invoice_144.png,3,6,1283,427,253,196
invoice_09.png,batch2_invoice_145.png,4,1,0,624,253,194
invoice_09.png,batch2_invoice_146.png,4,2,255,624,254,194
invoice_09.png,batch2_invoice_147.png,4,3,511,624,253,194
invoice_09.png,batch2_invoice_148.png,4,4,766,624,261,194
invoice_09.png,batch2_invoice_149.png,4,5,1028,624,257,194
invoice_09.png,batch2_invoice_150.png,4,6,1287,624,249,194
invoice_09.png,batch2_invoice_151.png,5,1,0,819,252,205
invoice_09.png,batch2_invoice_152.png,5,2,254,819,246,205
invoice_09.png,batch2_invoice_153.png,5,3,502,819,258,205
invoice_09.png,batch2_invoice_154.png,5,4,762,819,263,205
invoice_09.png,batch2_invoice_155.png,5,5,1027,819,255,205
invoice_09.png,batch2_invoice_156.png,5,6,1284,819,252,205
